,0,1,2,3,4,5,6,7,8,9
118,Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
119,"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)","Fugitive, The (1993)","Princess Bride, The (1987)",Schindler's List (1993),Forrest Gump (1994),L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)"
120,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
121,Contact (1997),"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Twelve Monkeys (1995),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989)
122,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
123,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
124,Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Titanic (1997)
125,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971)
126,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
127,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
128,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Twelve Monkeys (1995),Titanic (1997),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),Braveheart (1995)
129,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
130,"Godfather, The (1972)",Schindler's List (1993),L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),Dead Man Walking (1995),Amadeus (1984),Mr. Holland's Opus (1995),Casablanca (1942),Sense and Sensibility (1995),2001: A Space Odyssey (1968)
131,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
132,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
133,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
134,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
135,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
136,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
137,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
138,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
139,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
140,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
141,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974)
142,Star Wars (1977),Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
143,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
144,Independence Day (ID4) (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Apollo 13 (1995),Casablanca (1942),Sense and Sensibility (1995)
145,"Godfather, The (1972)",Scream (1996),Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),Willy Wonka and the Chocolate Factory (1971),E.T. the Extra-Terrestrial (1982),Amadeus (1984),One Flew Over the Cuckoo's Nest (1975)
146,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
147,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
148,Fargo (1996),Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
149,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
150,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
151,"Godfather, The (1972)",Scream (1996),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Full Monty, The (1997)",Braveheart (1995),Terminator 2: Judgment Day (1991),Men in Black (1997)
152,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997)
153,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
154,Fargo (1996),Return of the Jedi (1983),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
155,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
156,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
157,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996)
158,Contact (1997),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Full Monty, The (1997)"
159,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997)
160,Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),"Princess Bride, The (1987)"
161,Contact (1997),Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
162,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997)
163,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
164,Star Wars (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
165,Star Wars (1977),Fargo (1996),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
166,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
167,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
168,Star Wars (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Jerry Maguire (1996),"Fugitive, The (1993)","Princess Bride, The (1987)"
169,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
170,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
171,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
172,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
173,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
174,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
175,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
176,Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)"
177,"English Patient, The (1996)",Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Dead Man Walking (1995),E.T. the Extra-Terrestrial (1982),Amadeus (1984)
178,Willy Wonka and the Chocolate Factory (1971),Amadeus (1984),One Flew Over the Cuckoo's Nest (1975),"Wizard of Oz, The (1939)",Psycho (1960),Trainspotting (1996),"Blues Brothers, The (1980)",It's a Wonderful Life (1946),Rear Window (1954),GoodFellas (1990)
179,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
180,Star Wars (1977),Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
181,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)"
182,Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995)
183,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
184,Scream (1996),Air Force One (1997),Liar Liar (1997),"Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971)
185,Fargo (1996),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
186,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Princess Bride, The (1987)"
187,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
188,Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Empire Strikes Back, The (1980)",Titanic (1997),"Rock, The (1996)",Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",L.A. Confidential (1997)
189,Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974)
190,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)"
